        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
        91.2823       0.164264        219.077        657.232       0.946787        0.17333     0.00586767      0.0232656      0.0666669    0.000978609      0.0375745
        97.4789       0.164093        233.949        701.848       0.952092       0.174177     0.00591198      0.0234631      0.0664209     0.00099155      0.0376354
        104.096       0.163922        249.831        749.493       0.957175       0.174985     0.00595316       0.023651      0.0661772     0.00100371      0.0376864
        111.163       0.163751        266.791        800.372       0.962009       0.175751     0.00599092      0.0238281       0.065936     0.00101499      0.0377269
        118.709       0.163581        284.902        854.705        0.96657        0.17647     0.00602499      0.0239931      0.0656975     0.00102532      0.0377561
        126.768        0.16341        304.242        912.726       0.970838        0.17714     0.00605517      0.0241452      0.0654618     0.00103462      0.0377737
        135.373       0.163239        324.895        974.686       0.974796       0.177759     0.00608126      0.0242833       0.065229     0.00104285       0.037779
        144.563       0.163068        346.951        1040.85       0.978431       0.178323     0.00610314       0.024407      0.0649992     0.00104995      0.0377721
        154.376       0.162898        370.504        1111.51       0.981736       0.178833     0.00612077      0.0245158      0.0647724     0.00105591      0.0377526
        164.856       0.162727        395.655        1186.97       0.984709       0.179289     0.00613412      0.0246094      0.0645486     0.00106071      0.0377208
        176.047       0.162556        422.514        1267.54       0.987351        0.17969     0.00614327      0.0246881      0.0643277     0.00106437      0.0376769
        187.998       0.162385        451.196        1353.59        0.98967       0.180038     0.00614833       0.024752      0.0641095     0.00106692      0.0376213
        200.761       0.162215        481.825        1445.48       0.991679       0.180335     0.00614949      0.0248018       0.063894      0.0010684      0.0375546
        214.389       0.162044        514.534         1543.6       0.993396       0.180585     0.00614699      0.0248381      0.0636809     0.00106887      0.0374775
        228.943       0.161873        549.463        1648.39       0.994839       0.180789     0.00614108      0.0248618      0.0634701     0.00106841      0.0373908
        244.485       0.161702        586.763        1760.29       0.996034       0.180953     0.00613209      0.0248742      0.0632613     0.00106711      0.0372954
        261.081       0.161531        626.595        1879.79       0.997007        0.18108     0.00612034      0.0248763      0.0630543     0.00106504      0.0371923
        278.805       0.161361        669.131        2007.39       0.997783       0.181175     0.00610616      0.0248693      0.0628489      0.0010623      0.0370823
        297.731        0.16119        714.555        2143.66       0.998392       0.181242     0.00608988      0.0248545      0.0626447     0.00105899      0.0369665
        317.943       0.161019        763.062        2289.19       0.998858       0.181285     0.00607184      0.0248331      0.0624417     0.00105519      0.0368458
        339.526       0.160848        814.862        2444.59       0.999208       0.181308     0.00605232      0.0248062      0.0622395     0.00105098      0.0367211
        362.575       0.160678        870.179        2610.54       0.999464       0.181315      0.0060316       0.024775      0.0620381     0.00104644       0.036593
        387.188       0.160507        929.251        2787.75       0.999647       0.181309     0.00600992      0.0247402      0.0618371     0.00104163      0.0364624
        413.472       0.160336        992.333           2977       0.999774       0.181293     0.00598747      0.0247027      0.0616365      0.0010366      0.0363297
         441.54       0.160165         1059.7        3179.09       0.999859       0.181268     0.00596443      0.0246631      0.0614362     0.00103141      0.0361955
        471.514       0.159995        1131.63         3394.9       0.999915       0.181238     0.00594093       0.024622      0.0612361     0.00102609      0.0360601
        503.523       0.159824        1208.45        3625.36       0.999951       0.181202     0.00591707      0.0245798      0.0610361     0.00102067      0.0359238
        537.704       0.159653        1290.49        3871.47       0.999972       0.181163     0.00589294      0.0245367      0.0608361     0.00101517      0.0357869
        574.206       0.159482        1378.09        4134.28       0.999985       0.181122     0.00586861      0.0244931      0.0606361     0.00100962      0.0356496
        613.186       0.159311        1471.65        4414.94       0.999992       0.181077      0.0058441      0.0244489      0.0604361     0.00100401      0.0355118
        654.812       0.159141        1571.55        4714.64       0.999996       0.181031     0.00581948      0.0244044       0.060236     0.00099837      0.0353738
        699.263        0.15897        1678.23         5034.7       0.999998       0.180984     0.00579475      0.0243596       0.060036    0.000992703      0.0352357
        746.732       0.158799        1792.16        5376.47       0.999999       0.180935     0.00576994      0.0243145      0.0598358    0.000987016      0.0350973
        797.424       0.158628        1913.82        5741.45              1       0.180885     0.00574506      0.0242692      0.0596356    0.000981317      0.0349589
        851.557       0.158458        2043.74        6131.21              1       0.180833     0.00572014      0.0242236      0.0594354    0.000975609      0.0348203
        909.365       0.158287        2182.47        6547.42              1       0.180781     0.00569519      0.0241778      0.0592351    0.000969899      0.0346817
        971.096       0.158116        2330.63        6991.89              1       0.180727     0.00567021      0.0241318      0.0590347     0.00096419      0.0345431
        1037.02       0.157945        2488.85        7466.54              1       0.180673     0.00564522      0.0240855      0.0588342    0.000958486      0.0344044
        1107.42       0.157775         2657.8         7973.4              1       0.180618     0.00562023      0.0240391      0.0586337     0.00095279      0.0342657
        1182.59       0.157604        2838.22        8514.67              1       0.180561     0.00559524      0.0239923      0.0584332    0.000947105       0.034127
        1262.87       0.157433         3030.9        9092.69              1       0.180505     0.00557025      0.0239454      0.0582325    0.000941432      0.0339883
         1348.6       0.157262        3236.65        9709.94              1       0.180447     0.00554527      0.0238982      0.0580319    0.000935772      0.0338497
        1440.15       0.157091        3456.36        10369.1              1       0.180388      0.0055203      0.0238507      0.0578311    0.000930126       0.033711
        1537.92       0.156921           3691          11073              1       0.180329     0.00549534      0.0238031      0.0576303    0.000924493      0.0335724
        1642.32        0.15675        3941.56        11824.7              1       0.180269     0.00547039      0.0237552      0.0574295    0.000918874      0.0334338
        1753.81       0.156579        4209.13        12627.4              1       0.180207     0.00544545       0.023707      0.0572286    0.000913267      0.0332952
        1872.86       0.156408        4494.87        13484.6              1       0.180146     0.00542051      0.0236587      0.0570276    0.000907672      0.0331566
           2000       0.156238           4800          14400              1       0.180083     0.00539558      0.0236101      0.0568266    0.000902086       0.033018
